Plaintext,Ciphertext,Algorithm
hbVrpoiVgRV5IfLBcbfnoGMbJmTPSIAoCLrZ3aWZkSBvrjn9Wvgfygw2wMqZcUDIh7yfJs1ON43xKmTecQoXsf2o3gyrDO1xkxwnQrS7RPeMOkIUpkDyr7OSJoRu1XXdo0cZuzren68K4TunPFz46P,VMayfoxpdu ooZg7cxIX4 hBAjcxyPJe bconUKreon IPBMNoS7u4 5TSwO2rrZz RJZwssnD0P iG3fyQkUXT fSvq437Oz6 Vmk21fQycF gbWgJXwkon rfLWITOOu8 LIrZ3gRSrP pnrvhe1k1K VbC9DmDMR6 ,Complete Columnar Transposition
3hjOkYRBMeyyMDHqJ38aRUhR4IWrXPvhsBkDa9U4UqGWlG6g3Ot1OGMmjxWkI9X7H6aMuFbh7x41Ztpdp4K8ffUF0eWIXiiQE8JkqH3MB9n7IWUSm,jHWUtX4UJUOqr4171FkSkJXUOHZ0qmyRDgkh8Q7 eUBGxF4i9 hDI9O9xf8W3M4a3I7fEIMRsljupXB BahWmMdIM Y3PqG6teH yhk6WbKin R8vGMapW3 ,Complete Columnar Transposition
oaeTOdoe5c3veGprQFnIiU74KKEpYEZAmggQBwBAD3UdRPPgdzUvZ3gpmmICiBlrDp37eCZ32JgdPI1af7W2pkAFEn3z5dkyayq7YYDsBS9UYJQTFjmsn9dLVIdVuddLEG62Hkd9Gf2leMeR3pz,rdhwrgrh5f3yhjsutiqllx74nnhsbhcdpjjtezedg3xgussjgcxyc3jspplfleougs37hfc32mjgsl1di7z2sndihq3c5gnbdbt7bbgvev9xbmtwimpvq9goylgyxggohj62kng9ji2ohphu3sc,Compressocrat
qziQPtDu7W7eaDNKgeInGqi7w4e4pxskC1ITtNZPHaQ0Jt7Qg84iqh4gVJjrsMnTvnRO2qGFq562dfOB1rcavXiOqkVCJTBJahe84S5jIc1xLJjBictx57Y3c5wnR,tcltswgx7z7hdgqnjhlqjtl7z4h4savnf1lwwqcskdt0mw7tj84ltk4jymmuvpqwyqur2tjit562gire1ufdyalrtnyfmwemdkh84v5mlf1aommelfwa57b3f5zqu,Compressocrat
lV7vY7AZQ3VZprkYSgy3c2Eom06Dwt0Y3oobQmzvr3e9XrwPGzR1Iv8bh4qlL9qcgMBwUYuBMGhy5KmqcTBaH7ZIRU8VVQmxBe8Q6vNuQ2hU5tG,lpmQGLMHB5Qc3XhUcVQ 7k6zRqhZ8GvYDv1cyIQ 32or4YTQ2 Vr0mz9G7etZ3Y9bwqVu YSwrIg5R6 ZobPlBaxU 7gt3vMKUv Ay0e8Bm8N VEowquBmh ,Complete Columnar Transposition
KtzJ1atsnBYLMPuDCCRnGEY59YVkQfsGQONvf08WpRtoZmjbcpEN2XeDA4OKmTSyFzpjPSa5W3X4gXBolZ9SHDdJp62hDiZDQHJMu8W5CN0U5GB16JC5kV3ECqWp1OrXXHFOprCeTsprvu5Ifijoy,aDYvmDz4DDN5OeiKYGspEmal2uBCFvnRQ8cOPBpJ53XpysCk0b4jXJHUVXso1u9NZeFXHZCC1CfzMYQt2SW9DW6Wp5BnfWpKSo6MGEHr tCVfjApgdQ0krTjtLEGRNT5Zh81qOuJP5OoXy3Si5JprI,Complete Columnar Transposition
y5XL8Sb24WKyEa8wtWy2591AIVVIZM5oForBFbyvQRZzUk1D6iNIb6zLKQbfPBi3DldqyunDuvW4yrW81Aq1fEbVId8woPeX9PcWb8pm1bNjpiEQhK8nDSqXxkMM9VThX0k9tgLb,22ozLq8wmnh SWMR6lrd8KV X8VyNiWbcEML45FUKy1o1DX 5aVbiBvEPikg8tZQbDyIbh9 yEIF6Puf9pxtLwIvI34VWQMbyABDfD1XjX9 by5ZzdW8p8T K1r1bnqeNqk W9okQuAPbS0 ,Complete Columnar Transposition
YcwIBQxeGPva2A0FgB9xO51DTjBlUH9PrNZ6IXEDB0ULru2p17fr4CpWDKNQyvbF2ulFnwZqvr4MS4rJaH8mfpUAFJWpSEPTFCYbfsozSptQLxEJHwBVJvwSDrtqohUmuhVI8WSlmnVErULWHM,exPLWFJpzVmE P5NuKwHEpvhU GOrrDnaSSJur x99UplrWoBUV Y2TI1yvfFLD8Hw0BEfb4UYEtS aD6pQqmTQSIW QBH0Cu4Jswhn v1Z2NZ8PtwVL BgUB42SFfHom IFlDrFMAbJql cAjX7vrpCxrWM,Complete Columnar Transposition
sS8iO3WFg3aKsEECvl9dq83Eh0ezFeKORdjjZK8tfphJWAMMYNoXHyC6Ct3LBtKNdN9Vg8WnOnqQfkplJekaACSMEscosTsS3DeRo7qYYOLQZ7mBhIoPj6r0jedkYtMV0K6sChDStSz8rGIFC,SadFKM6dnkoo7rVt is8KtYt9QATqBjKz glejWyKnJseQjtDF Fv0jJHtWlEDLPYhI OE3OfN3VfCsYhe68 8Kqe8MCNqas7m00S 3EERpoLgkSSYIdsr WChdhXB8pM3OokCG s39zZACNOecRZ6MSC,Complete Columnar Transposition
L8bWR0rKcWWlEHPC6rlLBO0FfEwAvuQg2kvASFsQ8z0WJcDfuquhXz3G0aQ3IDAdmHxNWFOCWdnrJi7sC4SFhbOMZpTktJaJAfo16hD8hP1jF7TsGTrA1EEpDJjym6MGV4i3erXY2Av7YGr0as,o8ezu0unfzzohksf6uooer0iihzdyxtj2nydvivt8c0zmfgixtxkac3j0dt3lgdgpkaqzirfzgquml7vf4vikerpcswnwmdmdir16kg8ks1mi7wvjwud1hhsgmmbp6pjy4l3huab2dy7bju0dv,Compressocrat
